id_Multa,data_multa,vencimento_multa,Agente_id_agente,Infrator_id_Infrator,Veiculo_id_Veiculo,Tipo_Multa_id_Tipo_Multa
1,2025-10-01 08:00:00,2030-10-01,1,1,1,2
2,2025-10-01 08:20:00,2030-10-01,2,2,2,4
3,2025-10-01 08:40:00,2030-10-01,3,3,3,10
4,2025-10-01 09:00:00,2030-10-01,2,4,4,8
5,2025-10-01 09:10:00,2030-10-01,1,5,5,10
6,2025-10-01 09:30:00,2030-10-01,3,6,6,6
7,2025-10-01 09:40:00,2030-10-01,5,7,7,1
8,2025-10-01 09:50:00,2030-10-01,1,8,8,11
9,2025-10-01 10:00:00,2030-10-01,3,9,9,7
10,2025-10-01 10:30:00,2030-10-01,2,10,10,2
11,2025-10-01 11:00:00,2030-10-01,2,11,11,12
12,2025-10-01 13:45:00,2030-10-01,3,12,12,13
13,2025-10-01 16:10:00,2030-10-01,1,13,13,5
14,2025-10-01 19:30:00,2030-10-01,2,14,14,9
15,2025-10-01 22:05:00,2030-10-01,5,15,15,10
16,2025-10-02 07:15:00,2030-10-02,1,16,16,7
17,2025-10-02 09:50:00,2030-10-02,2,17,17,4
18,2025-10-02 12:25:00,2030-10-02,3,18,18,10
19,2025-10-02 14:00:00,2030-10-02,1,19,19,3
20,2025-10-02 17:35:00,2030-10-02,2,20,20,3
21,2025-10-02 20:00:00,2030-10-02,3,21,21,10
22,2025-10-03 08:30:00,2030-10-03,1,22,22,1
23,2025-10-03 10:45:00,2030-10-03,4,23,23,1
24,2025-10-03 13:10:00,2030-10-03,3,24,24,1
25,2025-10-03 15:55:00,2030-10-03,1,25,25,1
26,2025-10-03 18:20:00,2030-10-03,2,26,26,9
27,2025-10-03 21:05:00,2030-10-03,3,27,27,2
28,2025-10-04 06:40:00,2030-10-04,1,28,28,2
29,2025-10-04 09:15:00,2030-10-04,2,29,29,2
30,2025-10-04 11:50:00,2030-10-04,3,30,30,3
31,2025-10-04 14:35:00,2030-10-04,1,31,31,3
32,2025-10-04 17:10:00,2030-10-04,2,32,32,10
33,2025-10-04 19:45:00,2030-10-04,3,33,33,11
34,2025-10-05 08:20:00,2030-10-05,4,34,34,6
35,2025-10-05 10:55:00,2030-10-05,2,35,35,9
36,2025-10-05 13:30:00,2030-10-05,3,36,36,9
37,2025-10-05 16:05:00,2030-10-05,1,37,37,4
38,2025-10-05 18:40:00,2030-10-05,2,38,38,5
39,2025-10-05 21:15:00,2030-10-05,3,39,39,7
40,2025-10-06 07:00:00,2030-10-06,4,40,40,8
41,2025-10-06 10:30:00,2030-10-06,2,6,6,1
42,2025-10-06 22:05:00,2030-10-06,3,15,15,6
43,2025-10-07 08:30:00,2030-10-07,1,22,22,11
44,2025-10-07 09:20:00,2030-10-01,1,2,2,7
45,2025-10-07 17:10:00,2030-10-07,4,32,32,11
46,2025-10-07 19:15:00,2030-10-07,2,16,16,2
47,2025-10-08 07:00:00,2030-10-08,3,3,41,10
48,2025-10-08 07:30:00,2030-10-08,1,5,42,3
49,2025-10-08 08:00:00,2030-10-08,5,8,43,11
50,2025-10-08 12:00:00,2030-10-08,3,13,44,8
51,2025-10-08 14:00:00,2030-10-08,1,28,45,12
52,2025-10-08 17:00:00,2030-10-08,4,33,46,13
53,2025-10-09 07:00:00,2030-10-09,3,38,7
